United States,13.2
Alabama,14.3
Alaska,8.2
Arizona,18
Arkansas,15.3
California,14.6
Colorado,11
Connecticut,8.1
Delaware,9.6
District of Columbia,16.5
Florida,13.1
Georgia,15.5
Hawaii,9.9
Idaho,12.2
Illinois,12.3
Indiana,14.3
Iowa,9.5
Kansas,12.7
Kentucky,17.1
Louisiana,18.2
Maine,12
Maryland,8.7
Massachusetts,11.3
Michigan,13
Minnesota,9.9
Mississippi,18.1
Missouri,13.3
Montana,12.9
Nebraska,10.6
Nevada,10.8
New Hampshire,7
New Jersey,9.2
New Mexico,19.3
New York,14.2
North Carolina,13.9
North Dakota,11.8
Ohio,13.7
Oklahoma,13.6
Oregon,10.6
Pennsylvania,11
Rhode Island,12.7
South Carolina,14
South Dakota,13.1
Tennessee,15
Texas,15.9
Utah,7.6
Vermont,9
Virginia,10.3
Washington,10.4
West Virginia,14.5
Wisconsin,9.8
Wyoming,10.1
