,All income levels,Number,Standard error (19),Percent,Standard error (19)
United States,"271,059","34,476",559,12.7,0.21
Alabama,"4,190",609,80,14.5,1.76
Alaska,641,60,10,9.4,1.44
Arizona,"4,887",812,90,16.6,1.69
Arkansas,"2,559",377,48,14.7,1.73
California,"33,292","5,118",259,15.4,0.72
Colorado,"3,966",363,59,9.2,1.42
Connecticut,"3,275",310,57,9.5,1.65
Delaware,781,80,14,10.3,1.64
District of Columbia,510,114,14,22.3,2.37
Florida,"14,629","1,923",139,13.1,0.89
Georgia,"7,634","1,034",122,13.5,1.49
Hawaii,"1,201",131,22,10.9,1.72
Idaho,"1,273",165,22,13,1.58
Illinois,"12,255","1,234",113,10.1,0.88
Indiana,"5,830",547,88,9.4,1.44
Iowa,"2,834",257,44,9.1,1.47
Kansas,"2,615",250,41,9.6,1.49
Kentucky,"3,860",521,70,13.5,1.7
Louisiana,"4,305",821,90,19.1,1.88
Maine,"1,263",131,22,10.4,1.68
Maryland,"5,014",359,72,7.2,1.38
Massachusetts,"6,100",528,67,8.7,1.04
Michigan,"10,012","1,097",103,11,0.97
Minnesota,"4,815",498,76,10.3,1.49
Mississippi,"2,758",486,57,17.6,1.87
Missouri,"5,399",531,87,9.8,1.53
Montana,922,153,18,16.6,1.76
Nebraska,"1,713",211,30,12.3,1.66
Nevada,"1,845",195,30,10.6,1.53
New Hampshire,"1,216",119,22,9.8,1.69
New Jersey,"8,072",693,77,8.6,0.91
New Mexico,"1,823",371,39,20.4,1.92
New York,"18,370","3,068",167,16.7,0.84
North Carolina,"7,412","1,039",101,14,1.26
North Dakota,644,97,13,15.1,1.82
Ohio,"11,201","1,253",115,11.2,0.97
Oklahoma,"3,251",458,59,14.1,1.68
Oregon,"3,352",503,67,15,1.84
Pennsylvania,"11,890","1,338",115,11.3,0.91
Rhode Island,965,112,19,11.6,1.82
South Carolina,"3,851",527,74,13.7,1.79
South Dakota,710,77,12,10.8,1.55
Tennessee,"5,569",749,102,13.4,1.7
Texas,"19,889","2,994",193,15.1,0.9
Utah,"2,106",190,29,9,1.32
Vermont,592,58,10,9.9,1.68
Virginia,"6,679",589,95,8.8,1.36
Washington,"5,729",512,88,8.9,1.47
West Virginia,"1,748",312,36,17.8,1.84
Wisconsin,"5,127",449,76,8.8,1.41
Wyoming,484,51,8,10.6,1.56
